province,city,lon,lat,pop,consumption,product
Anhui,Anqing,117.0636039,30.53095657,458.61,58481.82109,72445.8883
Anhui,Bengbu,117.3955133,32.9215237,329.14,42472.8339,88111.25148
Anhui,Bozhou,115.7844632,33.8506427,504.69,67302.48137,29445.46966
Anhui,Chizhou,117.498421,30.67088379,143.63,22353.14292,21722.45028
Anhui,Chuzhou,118.3394061,32.26127087,401.71,54826.92679,78233.48636
Anhui,Fuyang,115.8204361,32.89606099,790.15,98511.3494,69354.34731
Anhui,Hefei,117.2334427,31.82657783,778.95,161780.4623,188332.0107
Anhui,Huaibei,116.8045373,33.9616563,217.88,33214.88926,22418.92197
Anhui,Huainan,117.0063889,32.6318474,343.11,55050.51889,57888.8134
Anhui,Huangshan,118.3454373,29.72188979,137.37,21165.19052,5333.783174
Anhui,Liuan,116.5264097,31.74145082,474.12,61129.93689,91952.92864
Anhui,Maanshan,118.5135796,31.6762656,226.22,53601.95022,35772.04581
Anhui,Suzhou-Ah,116.9705439,33.65209533,554.12,60024.71112,66051.64823
Anhui,Tongling,117.8184768,30.95123324,159.22,33587.09487,20050.68491
Anhui,Wuhu,118.4394314,31.35853666,365.45,65855.70477,61892.65064
Anhui,Xuancheng,118.7655342,30.94660155,259.24,42980.91648,112833.0798
Beijing,Beijing,116.4133837,39.91092455,2170.5,135569.43,55864.72901
Fujian,Fuzhou,119.3034698,26.08042942,750,296389.6467,43798.62802
Fujian,Longyan,117.0234476,25.08121984,261,76245.92668,152940.2611
Fujian,Nanping,118.1843695,26.64777287,264,72061.53798,999156.1205
Fujian,Ningde,119.5545107,26.67224171,287,78143.82469,10311.51175
Fujian,Putian,119.014521,25.45986546,287,89633.70368,64731.19717
Fujian,Quanzhou,118.6824463,24.87995233,851,346759.8576,43421.19043
Fujian,Sanming,117.6455212,26.26973652,253,73504.20384,41907.27811
Fujian,Xiamen,118.0964355,24.48540661,386,212526.6658,8402.733634
Fujian,Zhangzhou,117.6535765,24.51892979,500,149704.8472,10923.57974
Gansu,Dingxi,104.6324201,35.58683293,277.83,16570.86009,4594.086558
Gansu,Jiayuguan,98.29620384,39.77796015,24.39,3685.594949,149.7229025
Gansu,Jinchang,102.1946057,38.52582009,47.05,4375.743843,770.903359
Gansu,Jiuquan,98.50068522,39.73846908,111.54,11512.70549,10647.12347
Gansu,Lanzhou,103.8405212,36.06723469,369.31,44982.39171,3780.705181
Gansu,Tianshui,105.7314167,34.58741188,331.17,19501.41889,5725.97232
Gansu,Zhangye,100.4564115,38.93206601,121.98,11086.28524,10647.12347
Guangdong,Chaozhou,116.6294702,23.66262319,264.05,86488.89894,26995.88458
Guangdong,Dongguan,113.7584205,23.02730841,825.41,599158.4353,7949.513291
Guangdong,Foshan,113.1285122,23.02775875,743.06,529025.2609,126990.2661
Guangdong,Guangzhou,113.2714313,23.13533631,1350.11,1140661.724,215960.6002
Guangdong,Heyuan,114.7074463,23.74968437,307.35,85000.74617,52406.81213
Guangdong,Huizhou,114.423558,23.11635885,475.55,223752.6336,64772.26377
Guangdong,Jiangmen,113.0885562,22.58460388,451.95,181253.2283,140475.1574
Guangdong,Jieyang,116.3785122,23.55574049,605.89,193640.211,66240.25269
Guangdong,Maoming,110.9315426,21.66906403,608.08,194138.6071,273029.4547
Guangdong,Meizhou,116.1295374,24.29417753,434.08,138216.2794,97927.61792
Guangdong,Qingyuan,113.0624683,23.68823029,383.45,126208.8183,84347.34658
Guangdong,Shantou,116.6885286,23.35909172,555.21,230801.2239,52469.81005
Guangdong,Shanwei,115.3729243,22.7787305,302.16,98808.71797,49094.22054
Guangdong,Shaoguan,113.6035273,24.81588128,293.15,100790.7158,35026.45127
Guangdong,Shenzhen,114.0645518,22.54845664,1137.87,945927.4785,4419.274683
Guangdong,Yangjiang,111.9884893,21.86433973,251.12,90408.18171,36122.34033
Guangdong,Yunfu,112.0515127,22.92091197,246.05,72263.76766,266010.5836
Guangdong,Zhanjiang,110.3655544,21.27672344,724.14,228333.1657,140884.742
Guangdong,Zhaoqing,112.4714889,23.05288877,405.96,130935.3765,144206.7538
Guangdong,Zhongshan,113.3994224,22.52231467,320.96,192937.8714,16524.29566
Guangdong,Zhuhai,113.5825548,22.27656465,163.41,114182.3521,10131.47865
Guangxi,Beihai,109.1265332,21.4868365,162.57,83862.75405,67775.01934
Guangxi,Chongzuo,107.3715202,22.38311723,205.45,92405.75435,33010.82536
Guangxi,Fangchenggang,108.3604188,21.69300529,91.84,48409.88484,20195.97249
Guangxi,Guigang,109.6055203,23.11744838,429.37,208533.7871,89412.53148
Guangxi,Guilin,110.2035454,25.24288572,496.16,259608.4253,234097.4703
Guangxi,Hechi,108.0914999,24.69891173,347.68,127202.9087,44974.22446
Guangxi,Helin,108.3345212,22.821269,202.59,88478.71058,49567.42
Guangxi,Laibin,109.2274582,23.75654676,218.2,101968.2891,29599.03735
Guangxi,Liuzhou,109.4344219,24.33196139,392.27,210411.4756,68830.78905
Guangxi,Nanning,108.3734508,22.8226066,698.61,344669.9895,141935.1181
Guangxi,Qinzhou,108.6605802,21.98659354,320.93,160376.9735,239484.0379
Guangxi,Yulin-Jx,110.1884531,22.65983051,570.72,293932.6937,451653.3814
Guizhou,Bijie,105.3333234,27.40856213,660.61,79420.0521,27513.71605
Guizhou,Guiyang,106.6365768,26.65332482,462.18,78563.42534,35474.53432
Guizhou,Liupanshui,104.8375546,26.59883311,288.99,35843.52456,12400.96789
Guizhou,Zunyi,106.9334277,27.73170088,619.21,88315.86416,37942.51748
Hainan,Baisha,109.4574707,19.23137873,17.1,5806.579185,4022.938662
Hainan,Baoting,109.7034815,18.64690996,15.02,5489.110776,2682.151833
Hainan,Changjiang,109.0624641,19.30399788,22.92,11509.67039,5522.530773
Hainan,Chengmai,110.0135109,19.74434867,48.39,23246.13968,6084.901906
Hainan,Danzhou,109.5874558,19.52714611,97.77,46187.66972,4628.865612
